predicate,group,evidence,time,ov_split,instances,mean_frames,median_frames,max_frames,mean_segments,frac_over_1seg,review
jump_past,geometric_dynamic,geometric,dynamic,novel,2,30,30.0,30,1.0,0.0,False
jump_right,geometric_dynamic,geometric,dynamic,base,20,41.2,37.5,75,1.38,0.5,False
jump_toward,geometric_dynamic,geometric,dynamic,base,8,39.4,45.0,45,1.31,0.625,False
jump_with,geometric_dynamic,geometric,dynamic,novel,2,45,45.0,45,1.5,1.0,False
kick,appearance_dynamic,appearance,dynamic,novel,1,60,60,60,2.0,1.0,False
larger,geometric_static,geometric,static,base,117,200.1,105,930,6.67,0.88,False
left,geometric_static,geometric,static,base,42,60,45.0,210,2.0,0.571,False
lie_above,geometric_static,geometric,static,novel,4,108.8,120.0,135,3.62,1.0,False
lie_behind,geometric_static,geometric,static,base,39,101.2,90,240,3.37,0.795,False
lie_beneath,geometric_static,geometric,static,novel,2,112.5,112.5,165,3.75,1.0,False
lie_front,geometric_static,geometric,static,base,34,135,90.0,660,4.5,0.912,False
lie_inside,geometric_static,geometric,static,novel,1,135,135,135,4.5,1.0,False
lie_left,geometric_static,geometric,static,base,51,291.2,195,645,9.71,0.882,False
lie_next_to,geometric_static,geometric,static,base,29,304.1,210,630,10.14,0.897,False
lie_right,geometric_static,geometric,static,base,57,243.4,105,630,8.11,0.825,False
lie_with,geometric_static,geometric,static,novel,2,630,630.0,630,21.0,1.0,False
move_above,geometric_dynamic,geometric,dynamic,novel,1,75,75,75,2.5,1.0,False
move_away,geometric_dynamic,geometric,dynamic,novel,1,30,30,30,1.0,0.0,False
move_behind,geometric_dynamic,geometric,dynamic,base,83,84.0,60,285,2.8,0.819,False
move_beneath,geometric_dynamic,geometric,dynamic,base,65,75.7,45,360,2.52,0.723,False
move_front,geometric_dynamic,geometric,dynamic,base,40,67.5,45.0,225,2.25,0.7,False
move_left,geometric_dynamic,geometric,dynamic,base,56,92.1,60.0,345,3.07,0.839,False
move_next_to,geometric_dynamic,geometric,dynamic,novel,8,123.8,112.5,210,4.12,1.0,False
move_past,geometric_dynamic,geometric,dynamic,novel,11,45,45,105,1.5,0.545,False
move_right,geometric_dynamic,geometric,dynamic,base,47,96.7,60,345,3.22,0.851,False
move_toward,geometric_dynamic,geometric,dynamic,novel,8,37.5,37.5,45,1.25,0.5,False
move_with,geometric_dynamic,geometric,dynamic,base,22,155.5,135.0,315,5.18,1.0,False
next_to,geometric_static,geometric,static,base,18,72.5,30.0,210,2.42,0.444,False
past,geometric_dynamic,geometric,dynamic,novel,6,45,45.0,60,1.5,0.833,False
play,appearance_dynamic,appearance,dynamic,base,79,205.6,135,1200,6.85,0.937,False
pull,appearance_dynamic,appearance,dynamic,novel,3,110,105,195,3.67,0.667,False
ride,appearance_static,appearance,static,base,71,104.8,60,720,3.49,0.803,False
right,geometric_static,geometric,static,base,50,58.5,45.0,210,1.95,0.58,False
run_above,geometric_dynamic,geometric,dynamic,novel,1,30,30,30,1.0,0.0,False
run_away,geometric_dynamic,geometric,dynamic,novel,8,45,45.0,60,1.5,0.75,False
run_behind,geometric_dynamic,geometric,dynamic,base,13,41.5,45,60,1.38,0.538,False
run_beneath,geometric_dynamic,geometric,dynamic,novel,5,177,45,720,5.9,0.6,False
run_front,geometric_dynamic,geometric,dynamic,base,24,46.9,45.0,90,1.56,0.792,False
run_left,geometric_dynamic,geometric,dynamic,base,31,47.9,45,105,1.6,0.645,False
run_next_to,geometric_dynamic,geometric,dynamic,novel,8,54.4,45.0,105,1.81,0.625,False
run_past,geometric_dynamic,geometric,dynamic,base,14,40.7,30.0,75,1.36,0.429,False
run_right,geometric_dynamic,geometric,dynamic,base,32,44.5,45.0,105,1.48,0.531,False
run_toward,geometric_dynamic,geometric,dynamic,novel,9,48.3,45,75,1.61,0.667,False
run_with,geometric_dynamic,geometric,dynamic,base,10,36,30.0,45,1.2,0.4,False
sit_above,geometric_static,geometric,static,base,78,102.1,45.0,720,3.4,0.705,False
sit_behind,geometric_static,geometric,static,novel,47,173.9,165,705,5.8,0.809,False
sit_beneath,geometric_static,geometric,static,novel,20,94.5,37.5,390,3.15,0.5,False
sit_front,geometric_static,geometric,static,base,48,157.2,142.5,390,5.24,0.771,False
sit_inside,geometric_static,geometric,static,novel,3,285,360,375,9.5,1.0,False
sit_left,geometric_static,geometric,static,base,74,151.0,105.0,690,5.03,0.797,False
sit_next_to,geometric_static,geometric,static,novel,38,144.1,105.0,690,4.8,0.789,False
sit_right,geometric_static,geometric,static,base,89,170.2,105,705,5.67,0.775,False
stand_above,geometric_static,geometric,static,novel,35,68.1,60,195,2.27,0.771,False
stand_behind,geometric_static,geometric,static,base,175,114.5,75,900,3.82,0.8,False
stand_beneath,geometric_static,geometric,static,novel,6,55,45.0,105,1.83,0.667,False
stand_front,geometric_static,geometric,static,base,158,106.0,75.0,705,3.53,0.778,False
stand_inside,geometric_static,geometric,static,novel,2,45,45.0,60,1.5,0.5,False
stand_left,geometric_static,geometric,static,base,244,131.3,75.0,900,4.38,0.852,False
stand_next_to,geometric_static,geometric,static,base,118,112.4,75.0,900,3.75,0.788,False
stand_right,geometric_static,geometric,static,base,262,108.4,75.0,900,3.61,0.821,False
stand_with,geometric_static,geometric,static,novel,64,102.7,105.0,210,3.42,0.969,False
stop_above,geometric_static,geometric,static,novel,2,37.5,37.5,45,1.25,0.5,False
stop_behind,geometric_static,geometric,static,base,43,99.1,45,660,3.3,0.698,False
stop_beneath,geometric_static,geometric,static,novel,13,49.6,45,120,1.65,0.538,False
stop_front,geometric_static,geometric,static,base,14,87.9,52.5,180,2.93,0.786,False
stop_left,geometric_static,geometric,static,base,48,102.8,75.0,660,3.43,0.75,False
stop_next_to,geometric_static,geometric,static,novel,10,174,120.0,345,5.8,0.8,False
stop_right,geometric_static,geometric,static,base,54,106.9,52.5,660,3.56,0.741,False
stop_with,geometric_static,geometric,static,novel,2,45,45.0,45,1.5,1.0,False
swim_behind,geometric_dynamic,geometric,dynamic,novel,13,79.6,75,165,2.65,0.769,False
swim_beneath,geometric_dynamic,geometric,dynamic,novel,1,285,285,285,9.5,1.0,False
swim_front,geometric_dynamic,geometric,dynamic,base,60,91.8,90.0,330,3.06,0.833,False
swim_left,geometric_dynamic,geometric,dynamic,base,58,83.5,60.0,285,2.78,0.759,False
swim_next_to,geometric_dynamic,geometric,dynamic,novel,25,70.8,60,180,2.36,0.8,False
swim_right,geometric_dynamic,geometric,dynamic,base,63,73.3,60,195,2.44,0.778,False
swim_with,geometric_dynamic,geometric,dynamic,base,84,71.8,60.0,180,2.39,0.738,False
taller,geometric_static,geometric,static,base,133,200.2,105,930,6.67,0.902,False
touch,appearance_static,appearance,static,base,38,98.7,60.0,510,3.29,0.816,False
toward,geometric_dynamic,geometric,dynamic,novel,6,32.5,30.0,45,1.08,0.167,False
walk_above,geometric_dynamic,geometric,dynamic,novel,12,61.2,52.5,135,2.04,0.667,False
walk_away,geometric_dynamic,geometric,dynamic,novel,47,78.2,60,360,2.61,0.745,False
walk_behind,geometric_dynamic,geometric,dynamic,base,135,82.1,60,345,2.74,0.785,False
walk_beneath,geometric_dynamic,geometric,dynamic,novel,17,130.6,90,420,4.35,0.765,False
walk_front,geometric_dynamic,geometric,dynamic,base,165,77.1,60,315,2.57,0.818,False
walk_left,geometric_dynamic,geometric,dynamic,base,209,76.9,60,300,2.56,0.775,False
walk_next_to,geometric_dynamic,geometric,dynamic,base,88,69.9,45.0,420,2.33,0.75,False
walk_past,geometric_dynamic,geometric,dynamic,novel,34,69.3,60.0,195,2.31,0.765,False
walk_right,geometric_dynamic,geometric,dynamic,base,216,82.0,60.0,360,2.73,0.769,False
walk_toward,geometric_dynamic,geometric,dynamic,novel,43,62.1,45,165,2.07,0.698,False
walk_with,geometric_dynamic,geometric,dynamic,base,52,68.1,45.0,210,2.27,0.654,False
watch,appearance_static,appearance,static,base,97,107.6,75,465,3.59,0.804,False
